"freq
References : ['S(2,1)','S(1,1)']
Dependency : [freq]
Num. Points : [20001]
Matrix Size : scalar
Type : Real","S(2,1)
References : []
Dependency : [freq]
Num. Points : [20001]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg","S(1,1)
References : []
Dependency : [freq]
Num. Points : [20001]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg"
1.527 GHz,1.559E-6 / -54.432,0.995 / -143.087
1.527 GHz,1.560E-6 / -54.443,0.995 / -143.099
1.527 GHz,1.561E-6 / -54.454,0.995 / -143.110
1.527 GHz,1.562E-6 / -54.466,0.995 / -143.121
1.527 GHz,1.563E-6 / -54.477,0.995 / -143.132
1.528 GHz,1.564E-6 / -54.488,0.995 / -143.143
1.528 GHz,1.565E-6 / -54.499,0.995 / -143.154
1.528 GHz,1.567E-6 / -54.511,0.995 / -143.166
1.528 GHz,1.568E-6 / -54.522,0.995 / -143.177
1.528 GHz,1.569E-6 / -54.533,0.995 / -143.188
1.528 GHz,1.570E-6 / -54.544,0.995 / -143.199
1.528 GHz,1.571E-6 / -54.555,0.995 / -143.210
1.528 GHz,1.572E-6 / -54.567,0.995 / -143.221
1.528 GHz,1.573E-6 / -54.578,0.995 / -143.233
1.528 GHz,1.574E-6 / -54.589,0.995 / -143.244
1.528 GHz,1.576E-6 / -54.600,0.995 / -143.255
1.529 GHz,1.577E-6 / -54.612,0.995 / -143.266
1.529 GHz,1.578E-6 / -54.623,0.995 / -143.277
1.529 GHz,1.579E-6 / -54.634,0.995 / -143.289
1.529 GHz,1.580E-6 / -54.645,0.995 / -143.300
1.529 GHz,1.581E-6 / -54.657,0.995 / -143.311
1.529 GHz,1.582E-6 / -54.668,0.995 / -143.322
1.529 GHz,1.583E-6 / -54.679,0.995 / -143.333
1.529 GHz,1.585E-6 / -54.690,0.995 / -143.344
1.529 GHz,1.586E-6 / -54.702,0.995 / -143.356
1.530 GHz,1.587E-6 / -54.713,0.995 / -143.367
1.530 GHz,1.588E-6 / -54.724,0.995 / -143.378
1.530 GHz,1.589E-6 / -54.735,0.995 / -143.389
1.530 GHz,1.590E-6 / -54.747,0.995 / -143.400
1.530 GHz,1.591E-6 / -54.758,0.995 / -143.412
1.530 GHz,1.593E-6 / -54.769,0.995 / -143.423
1.530 GHz,1.594E-6 / -54.780,0.995 / -143.434
1.530 GHz,1.595E-6 / -54.792,0.995 / -143.445
1.530 GHz,1.596E-6 / -54.803,0.995 / -143.456
1.530 GHz,1.597E-6 / -54.814,0.995 / -143.468
1.530 GHz,1.598E-6 / -54.825,0.995 / -143.479
1.531 GHz,1.599E-6 / -54.837,0.995 / -143.490
1.531 GHz,1.601E-6 / -54.848,0.995 / -143.501
1.531 GHz,1.602E-6 / -54.859,0.995 / -143.512
1.531 GHz,1.603E-6 / -54.870,0.995 / -143.524
1.531 GHz,1.604E-6 / -54.882,0.995 / -143.535
1.531 GHz,1.605E-6 / -54.893,0.995 / -143.546
1.531 GHz,1.606E-6 / -54.904,0.995 / -143.557
1.531 GHz,1.607E-6 / -54.916,0.995 / -143.568
1.531 GHz,1.609E-6 / -54.927,0.995 / -143.580
1.532 GHz,1.610E-6 / -54.938,0.995 / -143.591
