"freq
References : ['S(1,1)','S(2,1)']
Dependency : [freq]
Num. Points : [20001]
Matrix Size : scalar
Type : Real","S(1,1)
References : []
Dependency : [freq]
Num. Points : [20001]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg","S(2,1)
References : []
Dependency : [freq]
Num. Points : [20001]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg"
1.523 GHz,0.994 / -153.370,6.812E-8 / -64.433
1.523 GHz,0.994 / -153.384,6.817E-8 / -64.447
1.523 GHz,0.994 / -153.398,6.821E-8 / -64.461
1.523 GHz,0.994 / -153.412,6.826E-8 / -64.474
1.523 GHz,0.994 / -153.426,6.831E-8 / -64.488
1.523 GHz,0.994 / -153.439,6.836E-8 / -64.502
1.524 GHz,0.994 / -153.453,6.840E-8 / -64.516
1.524 GHz,0.994 / -153.467,6.845E-8 / -64.530
1.524 GHz,0.994 / -153.481,6.850E-8 / -64.544
1.524 GHz,0.994 / -153.495,6.855E-8 / -64.558
1.524 GHz,0.994 / -153.509,6.859E-8 / -64.572
1.524 GHz,0.994 / -153.522,6.864E-8 / -64.586
1.524 GHz,0.994 / -153.536,6.869E-8 / -64.599
1.524 GHz,0.994 / -153.550,6.874E-8 / -64.613
1.524 GHz,0.994 / -153.564,6.878E-8 / -64.627
1.524 GHz,0.994 / -153.578,6.883E-8 / -64.641
1.524 GHz,0.994 / -153.592,6.888E-8 / -64.655
1.525 GHz,0.994 / -153.606,6.893E-8 / -64.669
1.525 GHz,0.994 / -153.619,6.897E-8 / -64.683
1.525 GHz,0.994 / -153.633,6.902E-8 / -64.697
1.525 GHz,0.994 / -153.647,6.907E-8 / -64.711
1.525 GHz,0.994 / -153.661,6.912E-8 / -64.725
1.525 GHz,0.994 / -153.675,6.917E-8 / -64.738
1.525 GHz,0.994 / -153.689,6.921E-8 / -64.752
1.525 GHz,0.994 / -153.702,6.926E-8 / -64.766
1.525 GHz,0.994 / -153.716,6.931E-8 / -64.780
1.526 GHz,0.994 / -153.730,6.936E-8 / -64.794
1.526 GHz,0.994 / -153.744,6.941E-8 / -64.808
1.526 GHz,0.994 / -153.758,6.945E-8 / -64.822
1.526 GHz,0.994 / -153.772,6.950E-8 / -64.836
1.526 GHz,0.994 / -153.786,6.955E-8 / -64.850
1.526 GHz,0.994 / -153.799,6.960E-8 / -64.864
1.526 GHz,0.994 / -153.813,6.965E-8 / -64.878
1.526 GHz,0.994 / -153.827,6.970E-8 / -64.891
1.526 GHz,0.994 / -153.841,6.974E-8 / -64.905
1.526 GHz,0.994 / -153.855,6.979E-8 / -64.919
1.526 GHz,0.994 / -153.869,6.984E-8 / -64.933
1.527 GHz,0.994 / -153.883,6.989E-8 / -64.947
1.527 GHz,0.994 / -153.896,6.994E-8 / -64.961
1.527 GHz,0.994 / -153.910,6.999E-8 / -64.975
1.527 GHz,0.994 / -153.924,7.003E-8 / -64.989
1.527 GHz,0.994 / -153.938,7.008E-8 / -65.003
1.527 GHz,0.994 / -153.952,7.013E-8 / -65.017
1.527 GHz,0.994 / -153.966,7.018E-8 / -65.031
1.527 GHz,0.994 / -153.980,7.023E-8 / -65.044
1.527 GHz,0.994 / -153.993,7.028E-8 / -65.058
1.528 GHz,0.994 / -154.007,7.033E-8 / -65.072
1.528 GHz,0.994 / -154.021,7.038E-8 / -65.086
1.528 GHz,0.994 / -154.035,7.042E-8 / -65.100
1.528 GHz,0.994 / -154.049,7.047E-8 / -65.114
1.528 GHz,0.994 / -154.063,7.052E-8 / -65.128
1.528 GHz,0.994 / -154.077,7.057E-8 / -65.142
1.528 GHz,0.994 / -154.090,7.062E-8 / -65.156
1.528 GHz,0.994 / -154.104,7.067E-8 / -65.170
1.528 GHz,0.994 / -154.118,7.072E-8 / -65.184
1.528 GHz,0.994 / -154.132,7.077E-8 / -65.197
1.528 GHz,0.994 / -154.146,7.082E-8 / -65.211
1.529 GHz,0.994 / -154.160,7.087E-8 / -65.225
1.529 GHz,0.994 / -154.174,7.092E-8 / -65.239
1.529 GHz,0.994 / -154.187,7.097E-8 / -65.253
1.529 GHz,0.994 / -154.201,7.101E-8 / -65.267
1.529 GHz,0.994 / -154.215,7.106E-8 / -65.281
1.529 GHz,0.994 / -154.229,7.111E-8 / -65.295
1.529 GHz,0.994 / -154.243,7.116E-8 / -65.309
1.529 GHz,0.994 / -154.257,7.121E-8 / -65.323
1.529 GHz,0.994 / -154.271,7.126E-8 / -65.337
1.530 GHz,0.994 / -154.284,7.131E-8 / -65.351
1.530 GHz,0.994 / -154.298,7.136E-8 / -65.364
1.530 GHz,0.994 / -154.312,7.141E-8 / -65.378
1.530 GHz,0.994 / -154.326,7.146E-8 / -65.392
1.530 GHz,0.994 / -154.340,7.151E-8 / -65.406
1.530 GHz,0.994 / -154.354,7.156E-8 / -65.420
1.530 GHz,0.994 / -154.368,7.161E-8 / -65.434
1.530 GHz,0.994 / -154.382,7.166E-8 / -65.448
1.530 GHz,0.994 / -154.395,7.171E-8 / -65.462
1.530 GHz,0.994 / -154.409,7.176E-8 / -65.476
1.530 GHz,0.994 / -154.423,7.181E-8 / -65.490
1.531 GHz,0.994 / -154.437,7.186E-8 / -65.504
1.531 GHz,0.994 / -154.451,7.191E-8 / -65.518
1.531 GHz,0.994 / -154.465,7.196E-8 / -65.532
1.531 GHz,0.994 / -154.479,7.201E-8 / -65.545
1.531 GHz,0.994 / -154.493,7.206E-8 / -65.559
1.531 GHz,0.994 / -154.506,7.211E-8 / -65.573
1.531 GHz,0.994 / -154.520,7.216E-8 / -65.587
1.531 GHz,0.994 / -154.534,7.221E-8 / -65.601
