x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-94.5000E-03,+238.3793E-03,-201.0050E-03,+5.0376885E+00,+3.5417713E+00
-94.2500E-03,+414.2587E-03,-201.0050E-03,+5.2261307E+00,+3.3533291E+00
-94.0000E-03,+414.2587E-03,-201.0050E-03,+5.1005026E+00,+3.3533291E+00
-93.7500E-03,+389.1331E-03,-402.0101E-03,+5.1884423E+00,+3.1900125E+00
-93.5000E-03,+414.2587E-03,-201.0050E-03,+5.2261307E+00,+3.3533291E+00
-93.2500E-03,+351.4446E-03,-201.0050E-03,+5.2261307E+00,+3.3533291E+00
-93.0000E-03,+414.2587E-03,-201.0050E-03,+5.1381910E+00,+3.3533291E+00
-92.7500E-03,+414.2587E-03,-201.0050E-03,+5.2261307E+00,+3.3282035E+00
-92.5000E-03,+401.6959E-03,-201.0050E-03,+5.2010051E+00,+3.1774497E+00
-92.2500E-03,+414.2587E-03,-201.0050E-03,+5.2261307E+00,+3.3533291E+00
-92.0000E-03,+414.2587E-03,-276.3819E-03,+5.1381910E+00,+3.3533291E+00
-91.7500E-03,+389.1331E-03,-226.1307E-03,+5.0502513E+00,+3.3533291E+00
-91.5000E-03,+401.6959E-03,-201.0050E-03,+5.2261307E+00,+3.3533291E+00
-91.2500E-03,+414.2587E-03,-201.0050E-03,+5.0879397E+00,+3.3533291E+00
-91.0000E-03,+414.2587E-03,-276.3819E-03,+5.1381910E+00,+3.1523241E+00
-90.7500E-03,+250.9421E-03,-226.1307E-03,+5.0502513E+00,+3.3282035E+00
-90.5000E-03,+414.2587E-03,-201.0050E-03,+5.2261307E+00,+3.1523241E+00
-90.2500E-03,+414.2587E-03,-201.0050E-03,+5.2261307E+00,+3.2277010E+00
-90.0000E-03,+301.1934E-03,-201.0050E-03,+5.1381910E+00,+3.1523241E+00
-89.7500E-03,+414.2587E-03,-201.0050E-03,+5.2261307E+00,+3.1523241E+00
-89.5000E-03,+238.3793E-03,-201.0050E-03,+5.2261307E+00,+3.3407663E+00
-89.2500E-03,+288.6306E-03,-201.0050E-03,+5.1507538E+00,+3.1523241E+00
-89.0000E-03,+301.1934E-03,-201.0050E-03,+5.1005026E+00,+3.1523241E+00
-88.7500E-03,+414.2587E-03,-201.0050E-03,+5.2261307E+00,+3.1523241E+00
-88.5000E-03,+414.2587E-03,-201.0050E-03,+5.2010051E+00,+3.1523241E+00
-88.2500E-03,+414.2587E-03,-201.0050E-03,+5.2261307E+00,+3.1523241E+00
-88.0000E-03,+414.2587E-03,-201.0050E-03,+5.1381910E+00,+3.1523241E+00
-87.7500E-03,+414.2587E-03,-201.0050E-03,+5.2261307E+00,+3.1523241E+00
-87.5000E-03,+414.2587E-03,-201.0050E-03,+5.2261307E+00,+3.1523241E+00
-87.2500E-03,+288.6306E-03,-201.0050E-03,+5.2261307E+00,+3.1523241E+00
-87.0000E-03,+414.2587E-03,-201.0050E-03,+5.1005026E+00,+3.1523241E+00
-86.7500E-03,+414.2587E-03,-402.0101E-03,+5.1884423E+00,+3.1523241E+00
-86.5000E-03,+238.3793E-03,-201.0050E-03,+5.0376885E+00,+3.1523241E+00
-86.2500E-03,+288.6306E-03,-326.6332E-03,+5.0879397E+00,+3.1523241E+00
-86.0000E-03,+414.2587E-03,-201.0050E-03,+5.2261307E+00,+3.0769472E+00
-85.7500E-03,+414.2587E-03,-201.0050E-03,+5.2261307E+00,+2.9890075E+00
-85.5000E-03,+414.2587E-03,-201.0050E-03,+5.2261307E+00,+2.9513190E+00
-85.2500E-03,+414.2587E-03,-402.0101E-03,+5.2261307E+00,+3.0895100E+00
-85.0000E-03,+301.1934E-03,-201.0050E-03,+5.1005026E+00,+3.0392587E+00
-84.7500E-03,+414.2587E-03,-201.0050E-03,+5.2261307E+00,+2.9513190E+00
-84.5000E-03,+414.2587E-03,-376.8844E-03,+5.2261307E+00,+2.9764447E+00
-84.2500E-03,+414.2587E-03,-263.8191E-03,+5.1507538E+00,+2.9513190E+00
-84.0000E-03,+414.2587E-03,-201.0050E-03,+5.2261307E+00,+2.9513190E+00
-83.7500E-03,+414.2587E-03,-201.0050E-03,+5.2261307E+00,+2.9513190E+00
-83.5000E-03,+238.3793E-03,-201.0050E-03,+5.2261307E+00,+2.9513190E+00
-83.2500E-03,+414.2587E-03,-201.0050E-03,+5.2261307E+00,+2.9513190E+00
-83.0000E-03,+414.2587E-03,-314.0704E-03,+5.1005026E+00,+2.9513190E+00
-82.7500E-03,+213.2537E-03,-201.0050E-03,+5.0502513E+00,+2.9513190E+00
-82.5000E-03,+414.2587E-03,-376.8844E-03,+5.2010051E+00,+2.9513190E+00
-82.2500E-03,+414.2587E-03,-201.0050E-03,+5.0251257E+00,+2.9513190E+00
-82.0000E-03,+414.2587E-03,-201.0050E-03,+5.1381910E+00,+2.9513190E+00
