#Parameters = {eR=4.7; CH=0.035; FL=16.5; FW=2.34; NotchLength=9.86; NotchWidth=1; PL=27.5; PW=40.5; SH=1.43; SL=61; SW=64; StripW=2.36; k=6.26}
#"Frequency / GHz"	"S1,1 (eR=4.7) [Magnitude]"
#---------------------------------------------
2.0534000396729	-0.065143761143955
2.0548000335693	-0.062893911973206
2.0562000274658	-0.061007109169855
2.0576000213623	-0.059516621855570
2.0590000152588	-0.058456100459800
2.0604000091553	-0.057847885677907
2.0618000030518	-0.057707031107791
2.0631999969482	-0.058038720855530
2.0645999908447	-0.058843202668846
2.0659999847412	-0.060109429802910
2.0673999786377	-0.061820655553948
2.0687999725342	-0.063949376342260
2.0701999664307	-0.066466281581032
2.0715999603271	-0.069330014495493
2.0729999542236	-0.072496471328424
2.0743999481201	-0.075913167634129
2.0757999420166	-0.079527524980414
2.0771999359131	-0.083281088588411
2.0785999298096	-0.087112325031603
2.0799999237061	-0.090961987255178
2.0813999176025	-0.094767807522410
2.0827999114990	-0.098467343047427
2.0841999053955	-0.10200310163594
2.0855998992920	-0.10532073846511
2.0869998931885	-0.10836809920612
2.0883998870850	-0.11109829678103
2.0897998809814	-0.11346950495890
2.0912001132965	-0.11545265381602
2.0926001071930	-0.11701793100522
2.0940001010895	-0.11814577775298
2.0954000949860	-0.11882784897133
2.0968000888824	-0.11906014000788
2.0982000827789	-0.11884998209350
2.0996000766754	-0.11821096689333
2.1010000705719	-0.11716386008047
2.1024000644684	-0.11574106036889
2.1038000583649	-0.11397575225731
2.1052000522614	-0.11191203276237
2.1066000461578	-0.10959789440144
2.1080000400543	-0.10708547949378
2.1094000339508	-0.10443062344554
2.1108000278473	-0.10169013136491
2.1122000217438	-0.098926753118314
2.1136000156403	-0.096197962670215
2.1150000095367	-0.093565933490666
2.1164000034332	-0.091085340381167
2.1177999973297	-0.088813784613600
2.1191999912262	-0.086800122021602
2.1205999851227	-0.085092091117967
2.1219999790192	-0.083730954309207
2.1233999729156	-0.082751300853495
2.1247999668121	-0.082181940431539
2.1261999607086	-0.082045951761970
2.1275999546051	-0.082354077697411
2.1289999485016	-0.083115711218720
2.1303999423981	-0.084327207222185
2.1317999362946	-0.085981576459917
2.1331999301910	-0.088060183647741
2.1345999240875	-0.090541013165929
2.1359999179840	-0.093391479377570
2.1373999118805	-0.096574077336597
2.1387999057770	-0.10004767063080
2.1401998996735	-0.10376493956870
2.1415998935699	-0.10767118055657
2.1429998874664	-0.11171204289105
2.1443998813629	-0.11583138987756
2.1458001136780	-0.11996860755283
2.1472001075745	-0.12406664305899
2.1486001014709	-0.12806574816760
2.1500000953674	-0.13190916670748
2.1514000892639	-0.13554453225280
2.1528000831604	-0.13892292233430
2.1542000770569	-0.14199709417044
2.1556000709534	-0.14473084936759
2.1570000648499	-0.14709009820038
2.1584000587463	-0.14904888435787
2.1598000526428	-0.15058934004104
2.1612000465393	-0.15170071103891
2.1626000404358	-0.15238191654780
2.1640000343323	-0.15263776129155
2.1654000282288	-0.15248351883596
2.1668000221252	-0.15193947763975
2.1682000160217	-0.15103551541480
2.1696000099182	-0.14980711358879
2.1710000038147	-0.14829703641101
2.1723999977112	-0.14655286697551
2.1737999916077	-0.14462621537135
2.1751999855042	-0.14257273813109
2.1765999794006	-0.14045201465007
2.1779999732971	-0.13832277074244
2.1793999671936	-0.13624599747120
2.1807999610901	-0.13428256176967
2.1821999549866	-0.13248894780802
2.1835999488831	-0.13092344263882
2.1849999427795	-0.12963572909066
2.1863999366760	-0.12867445852845
2.1877999305725	-0.12808270774800
2.1891999244690	-0.12789716499962
2.1905999183655	-0.12814652207470
2.1919999122620	-0.12885329127746
2.1933999061584	-0.13003390907471
2.1947999000549	-0.13169508548206
2.1961998939514	-0.13383787528874
2.1975998878479	-0.13645173538130
2.1989998817444	-0.13952243674556
2.2004001140594	-0.14302468737937
2.2018001079559	-0.14692812231211
2.2032001018524	-0.15119564609792
2.2046000957489	-0.15578374320363
2.2060000896454	-0.16064325697493
2.2074000835419	-0.16572082426214
2.2088000774384	-0.17095960150428
2.2102000713348	-0.17630046527012
2.2116000652313	-0.18168060307141
2.2130000591278	-0.18704101822833
2.2144000530243	-0.19231735381037
2.2158000469208	-0.19745372294996
2.2172000408173	-0.20239156304921
2.2186000347137	-0.20707955649451
2.2200000286102	-0.21146863038523
2.2214000225067	-0.21552011829365
2.2228000164032	-0.21919535495687
