#Parameters = {CH=0.035; FL=16.5; FW=2.24; NotchLength=10.47; NotchWidth=1; PL=28.027; PW=36.415; SH=1.43; SL=61; SW=64; StripW=2.24; k=6.26}
#"Frequency / GHz"	"S1,1 (NotchWidth=1) [Magnitude]"
#---------------------------------------------------
1.9414000511169	-0.088710687469287
1.9428000450134	-0.093417864449335
1.9442000389099	-0.097569479958157
1.9456000328064	-0.10109175826524
1.9470000267029	-0.10392033048877
1.9484000205994	-0.10600697060934
1.9498000144958	-0.10731884665826
1.9512000083923	-0.10783861857392
1.9526000022888	-0.10756426646591
1.9539999961853	-0.10651175232968
1.9553999900818	-0.10470859056508
1.9567999839783	-0.10220124174146
1.9581999778748	-0.099047475990053
1.9595999717712	-0.095315897591613
1.9609999656677	-0.091089673525234
1.9623999595642	-0.086457754918720
1.9637999534607	-0.081516509223744
1.9651999473572	-0.076367514340657
1.9665999412537	-0.071117567603056
1.9680000543594	-0.065870624011088
1.9694000482559	-0.060728830318678
1.9708000421524	-0.055796287553229
1.9722000360489	-0.051166605694115
1.9736000299454	-0.046929556436094
1.9750000238419	-0.043166141349605
1.9764000177383	-0.039944606437272
1.9778000116348	-0.037327247669939
1.9792000055313	-0.035358490095536
1.9805999994278	-0.034075323651267
1.9819999933243	-0.033498453183441
1.9833999872208	-0.033637198909865
1.9847999811172	-0.034483086718363
1.9861999750137	-0.036020884270255
1.9875999689102	-0.038216897557801
1.9889999628067	-0.041027387196159
1.9903999567032	-0.044397152758881
1.9917999505997	-0.048260909173563
1.9931999444962	-0.052544329565040
1.9946000576019	-0.057164201846430
1.9960000514984	-0.062032634199529
1.9974000453949	-0.067058778447557
1.9988000392914	-0.072143986453318
2.0002000331879	-0.077194058660500
2.0016000270844	-0.082116232476360
2.0030000209808	-0.086814344212758
2.0044000148773	-0.091203803626174
2.0058000087738	-0.095204803031400
2.0072000026703	-0.098741584316037
2.0085999965668	-0.10175376401925
2.0099999904633	-0.10418621893966
2.0113999843597	-0.10600181300862
2.0127999782562	-0.10716947001343
2.0141999721527	-0.10767466511008
2.0155999660492	-0.10751854650767
2.0169999599457	-0.10670838644080
2.0183999538422	-0.10527117409881
2.0197999477386	-0.10324320995038
2.0211999416351	-0.10067226942377
2.0225999355316	-0.097618610719888
2.0239999294281	-0.094146985050407
2.0253999233246	-0.090336133791329
2.0267999172211	-0.086267296546051
2.0281999111176	-0.082024964286981
2.0295999050140	-0.077699796382926
2.0309998989105	-0.073380628224004
2.0323998928070	-0.069155295087022
2.0337998867035	-0.065111967934239
2.0352001190186	-0.061332662746653
2.0366001129150	-0.057893665140324
2.0380001068115	-0.054865155441449
2.0394001007080	-0.052307432294622
2.0408000946045	-0.050273414854569
2.0422000885010	-0.048805302125007
2.0436000823975	-0.047932926402995
2.0450000762939	-0.047676629522413
2.0464000701904	-0.048043919571659
2.0478000640869	-0.049030791116306
2.0492000579834	-0.050621654262761
2.0506000518799	-0.052790656618447
2.0520000457764	-0.055498231054188
2.0534000396729	-0.058699439369698
2.0548000335693	-0.062334620409733
2.0562000274658	-0.066341965581629
2.0576000213623	-0.070646305909997
2.0590000152588	-0.075172457957548
2.0604000091553	-0.079841173370443
2.0618000030518	-0.084565501443849
2.0631999969482	-0.089262038562364
2.0645999908447	-0.093846781469304
2.0659999847412	-0.098239122311149
2.0673999786377	-0.10236086458302
2.0687999725342	-0.10613964461637
2.0701999664307	-0.10951244074750
2.0715999603271	-0.11242056170919
2.0729999542236	-0.11481710333861
2.0743999481201	-0.11666592193622
2.0757999420166	-0.11794022060386
2.0771999359131	-0.11862549062131
2.0785999298096	-0.11871915283085
2.0799999237061	-0.11823238371189
2.0813999176025	-0.11718290731848
2.0827999114990	-0.11560516788947
2.0841999053955	-0.11354060608479
2.0855998992920	-0.11104145646869
2.0869998931885	-0.10816804331548
2.0883998870850	-0.10498924299672
