Freq.	Vn00    Phase
1.51876737384548e+009	-1.93271323115189e+002	-1.01053716360113e+002
1.51911712322179e+009	-1.93239611909887e+002	-1.01059332741686e+002
1.51946695314015e+009	-1.93207887382236e+002	-1.01064954471918e+002
1.51981686361909e+009	-1.93176149518324e+002	-1.01070581558572e+002
1.52016685467718e+009	-1.93144398304223e+002	-1.01076214009428e+002
1.52051692633297e+009	-1.93112633725982e+002	-1.01081851832279e+002
1.52086707860501e+009	-1.93080855769630e+002	-1.01087495034934e+002
1.52121731151188e+009	-1.93049064421177e+002	-1.01093143625218e+002
1.52156762507214e+009	-1.93017259666610e+002	-1.01098797610970e+002
1.52191801930437e+009	-1.92985441491896e+002	-1.01104457000045e+002
1.52226849422714e+009	-1.92953609882984e+002	-1.01110121800314e+002
1.52261904985903e+009	-1.92921764825799e+002	-1.01115792019662e+002
1.52296968621863e+009	-1.92889906306247e+002	-1.01121467665990e+002
1.52332040332454e+009	-1.92858034310212e+002	-1.01127148747215e+002
1.52367120119534e+009	-1.92826148823560e+002	-1.01132835271269e+002
1.52402207984964e+009	-1.92794249832133e+002	-1.01138527246100e+002
1.52437303930603e+009	-1.92762337321754e+002	-1.01144224679671e+002
1.52472407958314e+009	-1.92730411278224e+002	-1.01149927579961e+002
1.52507520069955e+009	-1.92698471687324e+002	-1.01155635954964e+002
1.52542640267391e+009	-1.92666518534813e+002	-1.01161349812691e+002
1.52577768552481e+009	-1.92634551806431e+002	-1.01167069161168e+002
1.52612904927090e+009	-1.92602571487894e+002	-1.01172794008436e+002
1.52648049393079e+009	-1.92570577564900e+002	-1.01178524362554e+002
1.52683201952312e+009	-1.92538570023123e+002	-1.01184260231594e+002
1.52718362606654e+009	-1.92506548848217e+002	-1.01190001623646e+002
1.52753531357967e+009	-1.92474514025816e+002	-1.01195748546816e+002
1.52788708208117e+009	-1.92442465541531e+002	-1.01201501009224e+002
1.52823893158968e+009	-1.92410403380951e+002	-1.01207259019008e+002
1.52859086212387e+009	-1.92378327529648e+002	-1.01213022584321e+002
1.52894287370238e+009	-1.92346237973166e+002	-1.01218791713332e+002
1.52929496634389e+009	-1.92314134697034e+002	-1.01224566414228e+002
1.52964714006707e+009	-1.92282017686755e+002	-1.01230346695210e+002
1.52999939489057e+009	-1.92249886927812e+002	-1.01236132564496e+002
1.53035173083308e+009	-1.92217742405667e+002	-1.01241924030320e+002
1.53070414791329e+009	-1.92185584105760e+002	-1.01247721100933e+002
1.53105664614987e+009	-1.92153412013508e+002	-1.01253523784601e+002
1.53140922556151e+009	-1.92121226114310e+002	-1.01259332089608e+002
1.53176188616691e+009	-1.92089026393538e+002	-1.01265146024254e+002
1.53211462798476e+009	-1.92056812836547e+002	-1.01270965596853e+002
1.53246745103377e+009	-1.92024585428668e+002	-1.01276790815740e+002
1.53282035533265e+009	-1.91992344155209e+002	-1.01282621689263e+002
